brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,vehicle_age,avg_mpg,predicted_price,actual_minus_predicted,predicted_minus_actual,difference_pct_of_predicted,pricing_flag
maserati,mc20 base,2022.0,747.0,3.0l v6 24v pdi dohc twin turbo,3.0,8-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,16.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,blue,grigio mistero,252990.0,2.0,19.5,320371.37301670894,-67381.37301670894,67381.37301670894,-21.032270262547666,potentially_underpriced
porsche,718 cayman gts 4.0,2022.0,6547.0,4.0l h6 24v gdi dohc,4.0,,0.0,gasoline,rear-wheel drive,17.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,black,gt silver metallic,99810.0,2.0,20.0,164066.1893883932,-64256.18938839319,64256.18938839319,-39.16479661527323,potentially_underpriced
maserati,mc20 base,2022.0,352.0,3.0l v6 24v pdi dohc twin turbo,3.0,8-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,13.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,blue,black,259994.0,2.0,17.0,306993.29174905515,-46999.29174905515,46999.29174905515,-15.309550082115045,within_20_percent
mercedes-benz,gle 580 awd 4matic,2022.0,6333.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,21.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,black,obsidian black metallic,88995.0,2.0,25.5,133554.09622278987,-44559.09622278987,44559.09622278987,-33.364080535918625,potentially_underpriced
porsche,taycan base,2022.0,7380.0,electric,,2-speed automatic,1.0,electric,rear-wheel drive,17.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,black,mahogany metallic,84495.0,2.0,20.5,123278.42747786325,-38783.42747786325,38783.42747786325,-31.460027736667456,potentially_underpriced
porsche,panamera turbo,2018.0,29781.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,16.0,23.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,red,85995.0,6.0,19.5,124775.52342877878,-38780.523428778775,38780.523428778775,-31.08023301614479,potentially_underpriced
porsche,panamera gts,2019.0,41652.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,night blue metallic,87497.0,5.0,,122132.67865097873,-34635.678650978734,34635.678650978734,-28.359059208025627,potentially_underpriced
toyota,mirai base,2021.0,20132.0,,,continuously variable,0.0,unknown,rear-wheel drive,,71.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,black,gray,28900.0,3.0,71.0,60071.41952597117,-31171.41952597117,31171.41952597117,-51.89059917669263,potentially_underpriced
chevrolet,silverado 1500 ltz,2022.0,13483.0,6.2l v8 16v gdi ohv,6.2,10-speed automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,gideon,iridescent pearl tricoat,55488.0,2.0,,86462.6283993028,-30974.628399302805,30974.628399302805,-35.824296546081605,potentially_underpriced
audi,sq5 sportback 3.0t premium plus,2022.0,4561.0,3.0l v6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,black,daytona gray pearl effect,58999.0,2.0,,89577.4746516404,-30578.474651640397,30578.474651640397,-34.13634372989151,potentially_underpriced
